<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.858817, y: 3.858817, vx: -0.298486, vy: -0.298486, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.863034, y: 3.863034, vx: -0.297249, vy: -0.297249, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.844639, y: 3.844639, vx: -0.283562, vy: -0.283562, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.848915, y: 3.848915, vx: -0.282386, vy: -0.282386, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.831169, y: 3.831169, vx: -0.269384, vy: -0.269384, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.835502, y: 3.835502, vx: -0.268267, vy: -0.268267, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.818374, y: 3.818374, vx: -0.255915, vy: -0.255915, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.822759, y: 3.822759, vx: -0.254853, vy: -0.254853, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.806218, y: 3.806218, vx: -0.243119, vy: -0.243119, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.810653, y: 3.810653, vx: -0.242111, vy: -0.242111, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.794670, y: 3.794670, vx: -0.230963, vy: -0.230963, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.799153, y: 3.799153, vx: -0.230005, vy: -0.230005, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.783699, y: 3.783699, vx: -0.219415, vy: -0.219415, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.788228, y: 3.788228, vx: -0.218505, vy: -0.218505, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:55:59 2026><DYNAMIC><Updated DRONE STATE - x: 3.773277, y: 3.773277, vx: -0.208444, vy: -0.208444, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:00 2026><DYNAMIC><Updated DRONE STATE - x: 3.777849, y: 3.777849, vx: -0.207580, vy: -0.207580, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:00 2026><DYNAMIC><Updated DRONE STATE - x: 3.763376, y: 3.763376, vx: -0.198022, vy: -0.198022, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:00 2026><DYNAMIC><Updated DRONE STATE - x: 3.767989, y: 3.767989, vx: -0.197201, vy: -0.197201, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:00 2026><DYNAMIC><Updated DRONE STATE - x: 3.753969, y: 3.753969, vx: -0.188121, vy: -0.188121, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:00 2026><DYNAMIC><Updated DRONE STATE - x: 3.758622, y: 3.758622, vx: -0.187341, vy: -0.187341, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:00 2026><DYNAMIC><Updated DRONE STATE - x: 3.745034, y: 3.745034, vx: -0.178715, vy: -0.178715, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:00 2026><DYNAMIC><Updated DRONE STATE - x: 3.749723, y: 3.749723, vx: -0.177974, vy: -0.177974, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:00 2026><DYNAMIC><Updated DRONE STATE - x: 3.736545, y: 3.736545, vx: -0.169779, vy: -0.169779, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:00 2026><DYNAMIC><Updated DRONE STATE - x: 3.741269, y: 3.741269, vx: -0.169075, vy: -0.169075, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:00 2026><DYNAMIC><Updated DRONE STATE - x: 3.728480, y: 3.728480, vx: -0.161290, vy: -0.161290, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:00 2026><DYNAMIC><Updated DRONE STATE - x: 3.733238, y: 3.733238, vx: -0.160621, vy: -0.160621, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:00 2026><DYNAMIC><Updated DRONE STATE - x: 3.720819, y: 3.720819, vx: -0.153226, vy: -0.153226, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:00 2026><DYNAMIC><Updated DRONE STATE - x: 3.725609, y: 3.725609, vx: -0.152590, vy: -0.152590, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:00 2026><DYNAMIC><Updated DRONE STATE - x: 3.713541, y: 3.713541, vx: -0.145564, vy: -0.145564, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:00 2026><DYNAMIC><Updated DRONE STATE - x: 3.718361, y: 3.718361, vx: -0.144961, vy: -0.144961, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:01 2026><DYNAMIC><Updated DRONE STATE - x: 3.706626, y: 3.706626, vx: -0.138286, vy: -0.138286, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:01 2026><DYNAMIC><Updated DRONE STATE - x: 3.711475, y: 3.711475, vx: -0.137713, vy: -0.137713, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:01 2026><DYNAMIC><Updated DRONE STATE - x: 3.700058, y: 3.700058, vx: -0.131372, vy: -0.131372, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:01 2026><DYNAMIC><Updated DRONE STATE - x: 3.704934, y: 3.704934, vx: -0.130827, vy: -0.130827, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:01 2026><DYNAMIC><Updated DRONE STATE - x: 3.693818, y: 3.693818, vx: -0.124803, vy: -0.124803, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:01 2026><DYNAMIC><Updated DRONE STATE - x: 3.698720, y: 3.698720, vx: -0.124286, vy: -0.124286, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:01 2026><DYNAMIC><Updated DRONE STATE - x: 3.687890, y: 3.687890, vx: -0.118563, vy: -0.118563, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:01 2026><DYNAMIC><Updated DRONE STATE - x: 3.692816, y: 3.692816, vx: -0.118071, vy: -0.118071, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:01 2026><DYNAMIC><Updated DRONE STATE - x: 3.682258, y: 3.682258, vx: -0.112635, vy: -0.112635, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:01 2026><DYNAMIC><Updated DRONE STATE - x: 3.687208, y: 3.687208, vx: -0.112168, vy: -0.112168, fx: 0.000000, fy: 0.000000>
<Thu Jan 15 14:56:01 2026><DYNAMIC><Updated DRONE STATE - x: 3.676908, y: 3.676908, vx: -0.107003, vy: -0.107003, fx: 0.000000, fy: 0.000000>
